Population,Site,Institution,Individual.ID,inlet.ML,inlet.AP,midplane.ML,midplane.AP,outlet.ML,outlet.AP,Region,Body.mass
Ainu,,"Kyoto University, Japan",626,12.35,11.3,9.8,11.7,12.3,11.2,Asia,51.6032466
Ainu,,"Kyoto University, Japan",630,14.3,11.1,11.5,12.9,12.7,12.55,Asia,61.6234262
Ainu,,"Kyoto University, Japan",658,12.1,10,9.4,12.3,11,11.9,Asia,52.0271444
Ainu,,"Tokyo University, Japan",1335,11.9,8.4,8.9,11.9,10.8,11.1,Asia,NA
Ainu,,"Tokyo University, Japan",1346,12.1,11.5,10.1,12.85,11.6,12.4,Asia,NA
Ainu,,"Tokyo University, Japan",1349,13.1,11.8,10.2,12.9,11,12.1,Asia,NA
Ainu,,"Tokyo University, Japan",1354,13.6,11.4,10.3,12.7,11.6,12.1,Asia,NA
Ainu,,"Tokyo University, Japan",1364,13,11.2,9.8,13.55,11.4,12.75,Asia,NA
Ainu,,"Tokyo University, Japan",1432,12.15,9.8,10.3,12.75,11.2,12.1,Asia,NA
Ainu,,"Tokyo University, Japan",1437,13.1,9.6,10,11.1,12.3,10.8,Asia,NA
Ainu,,"Tokyo University, Japan",1438,11.8,10.75,9.1,12.9,9.2,12.2,Asia,NA
Ainu,,"Tokyo University, Japan",1452,12.7,12,11.3,13.3,12.2,13,Asia,NA
Ainu,,"Tokyo University, Japan",1454,12.45,10.7,9.8,12.8,12.3,12.2,Asia,NA
Alaska,,"American Museum of Natural History, New York, USA",99.1/102,12.4,9.5,9.7,10.7,10.8,9.9,Americas,52.5887581
Alaska,,"American Museum of Natural History, New York, USA",99.1/168,13.5,11.1,10.4,12.3,13.2,12,Americas,46.67302075
Alaska,,"American Museum of Natural History, New York, USA",99.1/198,12.9,11,10.7,12.2,12.3,11.7,Americas,52.17777205
Alaska,,"American Museum of Natural History, New York, USA",99.1/200,13.85,9.7,12.1,13.3,14,12.9,Americas,48.25833619
Alaska,,"American Museum of Natural History, New York, USA",99.1/257,11.8,9.8,11.5,12.7,12.6,12.7,Americas,53.19637916
Alaska,,"American Museum of Natural History, New York, USA",99.1/268,12.6,10.5,10.7,10.9,13.1,10.7,Americas,50.66511623
Alaska,,"American Museum of Natural History, New York, USA",99.1/276,13.5,11.2,11.2,12,14.2,11.2,Americas,54.94655912
Alaska,,"American Museum of Natural History, New York, USA",99.1/316,11.8,10.3,10.2,12.3,13,11.8,Americas,52.23395086
Alaska,,"American Museum of Natural History, New York, USA",99.1/334,13.5,11,10.3,12.9,13.2,12.3,Americas,51.66475041
Alaska,,"American Museum of Natural History, New York, USA",99.1/338,13.8,9.9,10.7,12.8,12.2,12.5,Americas,58.22440657
Alaska,,"American Museum of Natural History, New York, USA",99.1/359,12.7,9.6,10.4,11.6,13.3,11,Americas,50.06666668
Alaska,,"American Museum of Natural History, New York, USA",99.1/362,12.8,9.6,9.8,10.9,12,10.2,Americas,47.35056761
Alaska,,"American Museum of Natural History, New York, USA",99.1/377,14.1,10.6,11.2,11.9,14,11.1,Americas,59.32062622
Alaska,,"American Museum of Natural History, New York, USA",99.1/412,11.7,10.7,10.5,12.4,12.8,12.3,Americas,55.83223811
Alaska,,"American Museum of Natural History, New York, USA",99.1/424,13,10.2,9.5,12.6,11.9,11.9,Americas,55.06567458
Alaska,,"American Museum of Natural History, New York, USA",99.1/459,13.2,11.6,10.3,13.4,12.6,12.4,Americas,54.42219074
Alaska,,"American Museum of Natural History, New York, USA",99.1/465,13.8,10.8,11.6,13.9,12.9,13.5,Americas,57.40136377
Alaska,,"American Museum of Natural History, New York, USA",99.1/485,14.1,11.4,11.9,12.2,14.6,11.3,Americas,52.62386703
Alaska,,"American Museum of Natural History, New York, USA",99.1/500,12.9,8.8,10.7,11.9,12.1,12,Americas,57.37756431
Alaska,,"American Museum of Natural History, New York, USA",99.1/526,12.9,9.6,10.1,11.4,12.6,10.6,Americas,55.13300683
Alaska,,"American Museum of Natural History, New York, USA",99.1/99,12.9,10.5,11.1,13.4,13.6,13.1,Americas,44.85834017
Arikara,Larson site,"University of Tennessee at Knoxville, USA",B113D,13.65,11.6,11.3,13.1,14,12.5,Americas,61.74594477
Arikara,Larson site,"University of Tennessee at Knoxville, USA",B117,12.4,10.4,10.2,12.6,11.9,11.9,Americas,NA
Arikara,Larson site,"University of Tennessee at Knoxville, USA",B129B,13.5,11.5,11.1,13.4,13.3,12.8,Americas,57.51081221
Arikara,Larson site,"University of Tennessee at Knoxville, USA",B132,13.8,10.95,11.1,12,14.2,11.5,Americas,48.68082952
Arikara,Larson site,"University of Tennessee at Knoxville, USA",B135,12.6,10.3,8.8,10.7,11.1,10.3,Americas,53.77485715
Arikara,Larson site,"University of Tennessee at Knoxville, USA",B142,13.9,12.1,10.8,13,11.8,12.2,Americas,64.82768006
Arikara,Larson site,"University of Tennessee at Knoxville, USA",B33A,13.6,10.75,10.1,12.75,11.9,12.3,Americas,59.46082695
Arikara,Larson site,"University of Tennessee at Knoxville, USA",B33B,13.5,9.5,9.9,13.1,12,12.5,Americas,50.50029607
Arikara,Larson site,"University of Tennessee at Knoxville, USA",B36,14.2,10,11.1,12.6,12.8,12,Americas,53.66192312
Arikara,Larson site,"University of Tennessee at Knoxville, USA",B3A,13.15,10.8,9.6,12.3,12.2,11.8,Americas,54.72808184
Arikara,Larson site,"University of Tennessee at Knoxville, USA",B3C/G,13.1,10.3,11.2,12.7,14.2,12,Americas,55.61948787
Arikara,Larson site,"University of Tennessee at Knoxville, USA",B4B,13.7,10.6,10.1,12.2,11.6,11.4,Americas,49.24975303
Arikara,Larson site,"University of Tennessee at Knoxville, USA",B6,13,11.3,9.7,12.4,12.1,11.5,Americas,55.29025661
Arikara,Larson site,"University of Tennessee at Knoxville, USA",B60B,13.5,10.15,10.6,12.7,13.2,12,Americas,54.84083329
Arikara,Larson site,"University of Tennessee at Knoxville, USA",B6B,12.6,11.3,10.1,10.9,12.1,10.5,Americas,44.07138985
Arikara,Larson site,"University of Tennessee at Knoxville, USA",B76B,13.5,10.8,10.9,11.5,12.9,10.9,Americas,56.10508813
Austria,,"Cleveland Museum of Natural History, Ohio, USA",412,11.3,10.9,9,10.8,11.9,10.2,Europe and North Africa,49.31480877
Austria,,"Cleveland Museum of Natural History, Ohio, USA",466,13.5,8.8,10.5,11,13.2,10.4,Europe and North Africa,48.54422503
Austria,,"Naturhistorisches Museum, Wien, Austria",667,13.4,10,10.9,11.5,13.5,10.8,Europe and North Africa,54.15309053
Austria,,"Cleveland Museum of Natural History, Ohio, USA",681,13.1,10.2,9.1,12.4,10.5,11.8,Europe and North Africa,56.05020315
Austria,,"Naturhistorisches Museum, Wien, Austria",694,13.9,11.2,10.2,12.6,12.7,12,Europe and North Africa,52.96584619
Austria,,"Cleveland Museum of Natural History, Ohio, USA",1157,12.5,11.3,10.1,13.5,12.6,12.5,Europe and North Africa,52.56599882
Austria,,"Cleveland Museum of Natural History, Ohio, USA",1309,12.5,10.25,9.7,12.4,12.5,11.7,Europe and North Africa,43.92610262
Austria,,"Cleveland Museum of Natural History, Ohio, USA",1755,13.6,10.35,10.2,13.2,12.5,13,Europe and North Africa,60.7275688
Austria,,"Cleveland Museum of Natural History, Ohio, USA",1771,11.75,11.1,8.8,11.8,11.1,11.2,Europe and North Africa,47.12015457
Austria,,"Cleveland Museum of Natural History, Ohio, USA",2056,14.4,11.6,11.8,13.1,13.8,11.9,Europe and North Africa,59.20093546
Austria,,"Naturhistorisches Museum, Wien, Austria",25955,12.1,11.25,10.7,11.8,13.2,11.2,Europe and North Africa,49.8771644
Austria,,"Naturhistorisches Museum, Wien, Austria",25975,13.7,10.7,11.5,12.6,14.7,12.2,Europe and North Africa,55.12537965
Austria,,"Naturhistorisches Museum, Wien, Austria",25978,12.4,9,11.3,12.3,13.6,12.8,Europe and North Africa,43.91273869
Botswana,,"University of Witwatersrand, Johannesburgh, South Africa",931,11.2,10.4,9.4,12.3,11.5,11.65,Subsaharan Africa,44.85106251
Botswana,,"University of Witwatersrand, Johannesburgh, South Africa",1519,11.6,10.6,10.6,13.4,12.6,12.8,Subsaharan Africa,44.27750744
Botswana,,"University of Witwatersrand, Johannesburgh, South Africa",2129,12,10.85,8.9,12.6,9.3,12.35,Subsaharan Africa,47.18447007
Botswana,,"University of Witwatersrand, Johannesburgh, South Africa",2371,11.5,11.1,9.6,12.7,12,11.65,Subsaharan Africa,48.77026215
Botswana,,"University of Witwatersrand, Johannesburgh, South Africa",2965,11.5,11.8,9.7,12.8,11.1,10.5,Subsaharan Africa,53.51368317
Botswana,,"University of Witwatersrand, Johannesburgh, South Africa",3095,12.3,10.3,9.4,11.4,11.25,11.2,Subsaharan Africa,44.64390246
Botswana,,"University of Witwatersrand, Johannesburgh, South Africa",3127,11.5,10.9,9.4,11.1,10.2,10.4,Subsaharan Africa,56.70541421
Botswana,,"University of Witwatersrand, Johannesburgh, South Africa",3183,11.3,11.3,9.3,12.9,11.1,11.6,Subsaharan Africa,52.98222378
Botswana,,"University of Witwatersrand, Johannesburgh, South Africa",3188,9.5,10.5,7.5,11.9,10.1,9.9,Subsaharan Africa,44.75078379
Botswana,,"University of Witwatersrand, Johannesburgh, South Africa",3195,11.9,10.1,9.7,10.9,11,12.2,Subsaharan Africa,47.91406851
Botswana,,"University of Witwatersrand, Johannesburgh, South Africa",3376,12.4,10.2,11.3,12.2,13,12.4,Subsaharan Africa,53.90917988
Botswana,,"University of Witwatersrand, Johannesburgh, South Africa",3419,11.75,10.5,9.9,12,10.6,11.2,Subsaharan Africa,40.08741603
Botswana,,"University of Witwatersrand, Johannesburgh, South Africa",3499,13.8,12.3,10.4,12.75,10.7,11.5,Subsaharan Africa,58.96229731
